UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1001,MG Road PS,1,1001,1,1,1,1
1002,Indiranagar PS,1,1002,1,1,1,1
1003,Koramangala PS,1,1003,1,1,1,1
1004,Whitefield PS,1,1004,1,1,1,1
1005,Jayanagar PS,1,1005,1,1,1,1
1006,Malleshwaram PS,1,1006,1,1,1,1
1007,Marathahalli PS,1,1007,1,1,1,1
1008,Electronic City PS,1,1008,1,1,1,1
1009,Yeshwanthpur PS,1,1009,1,1,1,1
1010,BTM Layout PS,1,1010,1,1,1,1
1011,Rajajinagar PS,1,1011,1,1,1,1
1012,Yelahanka PS,1,1012,1,1,1,1
1013,Nelamangala PS,1,1013,1,1,2,1
1014,Devanahalli PS,1,1014,1,1,2,1
1015,Doddaballapura PS,1,1015,1,1,2,1
1016,Hoskote PS,1,1016,1,1,2,1
1017,Mysuru City PS,1,1017,1,1,3,1
1018,K R Mohalla PS,1,1018,1,1,3,1
1019,Kuvempunagar PS,1,1019,1,1,3,1
1020,Vijayanagar PS,1,1020,1,1,3,1
1021,Nazarbad PS,1,1021,1,1,3,1
1022,Hubballi City PS,1,1022,1,1,4,1
1023,Old Hubballi PS,1,1023,1,1,4,1
1024,Gokul Road PS,1,1024,1,1,4,1
1025,Mangaluru City PS,1,1025,1,1,5,1
1026,Kankanady PS,1,1026,1,1,5,1
1027,Surathkal PS,1,1027,1,1,5,1
1028,Bunder PS,1,1028,1,1,5,1
1029,Belagavi City PS,1,1029,1,1,6,1
1030,Tilakwadi PS,1,1030,1,1,6,1
